Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00018086,0.0010067,0.018019,0,0,0,0.22207,0.00013052,2.0278E-08,4.1118E-07,0.00024183,-1.5117E-06,0.00033067,0,0,0,0,0,0,package://blue-body/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://blue-body/meshes/base_link.STL,,base-1,Coordinate System16,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link11,0.0346,0.003463,-3.2848E-11,0,0,0,0.016687,2.7187E-06,-3.1124E-07,2.1472E-12,1.195E-05,4.8542E-13,9.7666E-06,0,0,0,0,0,0,package://blue-body/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body/meshes/Link11.STL,,link_1-1-1,Coordinate System1,Axis1,Joint11,revolute,0.0279,-0.0395,0.040325,1.5708,-0.93181,-1.5708,base_link,0,0,-1,100,10,-0.785,0.785,,,,,,,,
Link21,0.011918,0,3.4694E-18,0,0,0,0.0028359,1.5845E-07,2.8852E-24,1.5528E-24,2.6992E-07,2.7808E-24,1.3803E-07,0,0,0,0,0,0,package://blue-body/meshes/Link21.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue-body/meshes/Link21.STL,,link_1-2-1,Coordinate System4,Axis4,Joint21,revolute,0.08,0.004,0,0,0,0.63899,Link11,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link31,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,4.7958E-22,-6.0561E-06,1.2541E-05,1.766E-22,6.9973E-06,0,0,0,0,0,0,package://blue-body/meshes/Link31.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body/meshes/Link31.STL,,link_1-4-1,Coordinate System7,Axis7,Joint31,revolute,0.02,0,-0.0088,-1.5708,0.019311,0,Link21,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link41,0.0088,0.0080823,6.9389E-18,0,0,0,0.0028359,1.3803E-07,1.3094E-23,-1.1423E-23,1.5845E-07,4.3716E-25,2.6992E-07,0,0,0,0,0,0,package://blue-body/meshes/Link41.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue-body/meshes/Link41.STL,,feet_link-1,Coordinate System13,Axis13,Joint41,revolute,0.084,0,0.06,0,0,-1.5901,Link31,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link32,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,1.2325E-21,-6.0561E-06,1.2541E-05,8.3314E-22,6.9973E-06,0,0,0,0,0,0,package://blue-body/meshes/Link32.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body/meshes/Link32.STL,,link_1-4-2,Coordinate System8,Axis8,Joint32,revolute,0.02,0,0.0088,-1.5708,0.019311,0,Link21,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link12,0.0346,0.003463,-3.2848E-11,0,0,0,0.016687,2.7187E-06,-3.1124E-07,2.1472E-12,1.195E-05,4.8542E-13,9.7666E-06,0,0,0,0,0,0,package://blue-body/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body/meshes/Link12.STL,,link_1-1-2,Coordinate System2,Axis2,Joint12,revolute,0.0279,0.0395,0.040325,1.5708,-0.93181,1.5708,base_link,0,0,-1,100,10,-0.785,0.785,,,,,,,,
Link22,0.011918,0,-3.4694E-18,0,0,0,0.0028359,1.5845E-07,-6.9439E-24,-1.8817E-23,2.6992E-07,-2.0856E-24,1.3803E-07,0,0,0,0,0,0,package://blue-body/meshes/Link22.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue-body/meshes/Link22.STL,,link_1-2-2,Coordinate System5,Axis5,Joint22,revolute,0.08,0.004,0,0,0,0.63899,Link12,0,0,-1,100,10,-1.57,1.57,,,,,,,,
Link33,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,2.1919E-22,-6.0561E-06,1.2541E-05,-3.2842E-22,6.9973E-06,0,0,0,0,0,0,package://blue-body/meshes/Link33.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body/meshes/Link33.STL,,link_1-4-3,Coordinate System9,Axis9,Joint33,revolute,0.02,0,-0.0088,-1.5708,-0.019311,0,Link22,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link42,0.0088,0.0080823,3.8164E-17,0,0,0,0.0028359,1.3803E-07,-1.559E-23,-5.6003E-22,1.5845E-07,1.2132E-24,2.6992E-07,0,0,0,0,0,0,package://blue-body/meshes/Link42.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue-body/meshes/Link42.STL,,feet_link-2,Coordinate System14,Axis14,Joint42,revolute,0.084,0,0.06,0,0,-1.5515,Link33,0,0,1,100,10,-1.57,1.57,,,,,,,,
