Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000180861278436302,0.0010066992638707,0.0180191600373319,0,0,0,0.222069356338279,0.00013051726595754,2.02778699571474E-08,4.11179123299776E-07,0.000241825516008572,-1.51165378052728E-06,0.000330666767704576,0,0,0,0,0,0,package://blue-body2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://blue-body2/meshes/base_link.STL,,base-1,Coordinate System16,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link11,0.0346,0.003463,-3.2848E-11,0,0,0,0.016687,2.7187E-06,-3.1124E-07,2.1472E-12,1.195E-05,4.8542E-13,9.7666E-06,0,0,0,0,0,0,package://blue-body2/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body2/meshes/Link11.STL,,link_1-1-1,Coordinate System1,Axis1,Joint11,revolute,0.0279,-0.0395,0.040325,1.5708,-0.93181,-1.5708,base_link,0,0,-1,100,10,-0.785,0.785,,,,,,,,
Link21,0.011917746161099,0,3.46944695195361E-18,0,0,0,0.00283590714079141,1.58449114328455E-07,2.16706492941807E-24,-4.61653980291068E-25,2.69919583243165E-07,2.16286727549876E-24,1.38027104044293E-07,0,0,0,0,0,0,package://blue-body2/meshes/Link21.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://blue-body2/meshes/Link21.STL,,link_1-2-1,Coordinate System4,Axis4,Joint21,revolute,0.08,0.004,0,0,0,0.63899,Link11,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link31,0.0419999999999998,-8.4049715728951E-09,0.0299999999999993,0,0,0,0.0115483860896403,5.72454936139627E-06,4.46491041805618E-22,-6.05605579279737E-06,1.2540943263813E-05,2.03071075031424E-22,6.99727115654009E-06,0,0,0,0,0,0,package://blue-body2/meshes/Link31.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body2/meshes/Link31.STL,,link_1-4-1,Coordinate System7,Axis7,Joint31,revolute,0.02,0,-0.0088,-1.5708,0.019311,0,Link21,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link41,0.0078588854038606,0.00884767772659442,3.46944695195361E-18,0,0,0,0.00259356350675444,1.22895172299773E-07,-1.8405238722096E-08,2.19747941719554E-24,1.38231154748668E-07,7.88832238961713E-24,2.38051489435071E-07,0,0,0,0,0,0,package://blue-body2/meshes/Link41.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://blue-body2/meshes/Link41.STL,,feet_link-1,Coordinate System13,Axis13,Joint41,revolute,0.084,0,0.06,0,0,-1.5901,Link31,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link32,0.0419999999999999,-8.404971579834E-09,0.0299999999999993,0,0,0,0.0115483860896403,5.72454936139627E-06,1.29206127228203E-21,-6.05605579279737E-06,1.2540943263813E-05,8.0666589277919E-22,6.99727115654008E-06,0,0,0,0,0,0,package://blue-body2/meshes/Link32.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body2/meshes/Link32.STL,,link_1-4-2,Coordinate System8,Axis8,Joint32,revolute,0.02,0,0.0088,-1.5708,0.019311,0,Link21,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link12,0.0345998920448606,0.00346296665203295,-3.28480818934107E-11,0,0,0,0.0166874190273954,2.71867883613876E-06,-3.11242617968806E-07,2.14716480691004E-12,1.19502194346627E-05,4.85420248030247E-13,9.76664595710977E-06,0,0,0,0,0,0,package://blue-body2/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body2/meshes/Link12.STL,,link_1-1-2,Coordinate System2,Axis2,Joint12,revolute,0.0279,0.0395,0.040325,1.5708,-0.93181,1.5708,base_link,0,0,-1,100,10,-0.785,0.785,,,,,,,,
Link22,0.011917746161099,0,-3.46944695195361E-18,0,0,0,0.00283590714079142,1.58449114328455E-07,-7.19151188700481E-24,-1.62731935870126E-23,2.69919583243166E-07,-1.89250886606142E-24,1.38027104044294E-07,0,0,0,0,0,0,package://blue-body2/meshes/Link22.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://blue-body2/meshes/Link22.STL,,link_1-2-2,Coordinate System5,Axis5,Joint22,revolute,0.08,0.004,0,0,0,0.63899,Link12,0,0,-1,100,10,-1.57,1.57,,,,,,,,
Link33,0.042,-8.404971579834E-09,0.0299999999999993,0,0,0,0.0115483860896403,5.72454936139627E-06,2.65515621505318E-22,-6.05605579279737E-06,1.2540943263813E-05,-3.41658842070411E-22,6.99727115654009E-06,0,0,0,0,0,0,package://blue-body2/meshes/Link33.STL,1,1,1,1,0,0,0,0,0,0,package://blue-body2/meshes/Link33.STL,,link_1-4-3,Coordinate System9,Axis9,Joint33,revolute,0.02,0,-0.0088,-1.5708,-0.019311,0,Link22,0,0,1,100,10,-1.57,1.57,,,,,,,,
Link42,0.00785888540386061,0.00884767772659442,3.46944695195361E-17,0,0,0,0.00259356350675444,1.22895172299773E-07,-1.84052387220959E-08,-4.96254844176532E-22,1.38231154748668E-07,-7.94924329871085E-23,2.38051489435071E-07,0,0,0,0,0,0,package://blue-body2/meshes/Link42.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://blue-body2/meshes/Link42.STL,,feet_link-2,Coordinate System14,Axis14,Joint42,revolute,0.084,0,0.06,0,0,-1.5515,Link33,0,0,1,100,10,-1.57,1.57,,,,,,,,
