Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00018086,0.0010067,0.018019,0,0,0,0.22207,0.00013052,2.0278E-08,4.1118E-07,0.00024183,-1.5117E-06,0.00033067,0,0,0,0,0,0,package://blue04/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://blue04/meshes/base_link.STL,,base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link11,0.034317,0.0034451,1.1483E-10,0,0,0,0.016849,2.7733E-06,-3.2211E-07,2.2254E-12,1.215E-05,4.9643E-13,9.9216E-06,0,0,0,0,0,0,package://blue04/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link11.STL,,link_1-1-1,Coordinate System2,Axis2,Joint11,revolute,0.028,-0.0395,0.040325,1.5708,-0.93176,-1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link21,0.011918,1.7764E-15,-9.6798E-16,0,0,0,0.0028359,1.5845E-07,3.2513E-24,3.4417E-24,2.6992E-07,6.8233E-25,1.3803E-07,0,0,0,0,0,0,package://blue04/meshes/Link21.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue04/meshes/Link21.STL,,link_1-2-1,Coordinate System5,Axis5,Joint21,revolute,0.08,0.004,-0.0002,0,0,0.63903,Link11,0,0,1,0,0,0,0,,,,,,,,
Link31,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,5.1373E-22,-6.0561E-06,1.2541E-05,1.2763E-22,6.9973E-06,0,0,0,0,0,0,package://blue04/meshes/Link31.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link31.STL,,link_1-4-1,Coordinate System8,Axis8,Joint31,revolute,0.02,0.0002,-0.0088,-1.5708,0.018138,0,Link21,0,0,1,0,0,0,0,,,,,,,,
Link32,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,-5.4987E-22,-6.0561E-06,1.2541E-05,-6.0019E-22,6.9973E-06,0,0,0,0,0,0,package://blue04/meshes/Link32.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link32.STL,,link_1-4-6,Coordinate System9,Axis9,Joint32,revolute,0.02,-0.0002,0.0088,-1.5708,0.018138,0,Link21,0,0,1,0,0,0,0,,,,,,,,
Link12,0.034317,0.0034451,1.1481E-10,0,0,0,0.016849,2.7733E-06,-3.2211E-07,2.2254E-12,1.215E-05,4.9643E-13,9.9216E-06,0,0,0,0,0,0,package://blue04/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link12.STL,,link_1-1-2,Coordinate System3,Axis3,Joint12,revolute,0.0278,0.0395,0.040325,1.5708,-0.93185,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link22,0.011918,-1.6515E-15,-1.7347E-17,0,0,0,0.0028359,1.5845E-07,-7.4059E-24,-1.1722E-23,2.6992E-07,-4.0168E-24,1.3803E-07,0,0,0,0,0,0,package://blue04/meshes/Link22.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue04/meshes/Link22.STL,,link_1-2-2,Coordinate System6,Axis6,Joint22,revolute,0.08,0.004,0.0002,0,0,0.63895,Link12,0,0,-1,0,0,0,0,,,,,,,,
Link33,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,-2.9344E-22,-6.0561E-06,1.2541E-05,-3.351E-22,6.9973E-06,0,0,0,0,0,0,package://blue04/meshes/Link33.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link33.STL,,link_1-4-4,Coordinate System10,Axis10,Joint33,revolute,0.02,-0.0002,-0.0088,-1.5708,-0.020519,0,Link22,0,0,1,0,0,0,0,,,,,,,,
Link34,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,2.9358E-22,-6.0561E-06,1.2541E-05,1.1483E-22,6.9973E-06,0,0,0,0,0,0,package://blue04/meshes/Link34.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link34.STL,,link_1-4-7,Coordinate System11,Axis11,Joint34,revolute,0.02,-0.0002,0.0088,-1.5708,-0.020519,0,Link22,0,0,1,0,0,0,0,,,,,,,,
Link13,0.034317,0.0034451,1.1491E-10,0,0,0,0.016849,2.7733E-06,-3.2211E-07,2.2254E-12,1.215E-05,4.9643E-13,9.9216E-06,0,0,0,0,0,0,package://blue04/meshes/Link13.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link13.STL,,link_1-1-3,Coordinate System4,Axis4,Joint13,revolute,0.067,0.0005,0.040325,1.5708,-0.93145,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link23,0.011918,6.9389E-17,3.6321E-18,0,0,0,0.0028359,1.5845E-07,-1.8628E-24,-1.2804E-23,2.6992E-07,1.5483E-23,1.3803E-07,0,0,0,0,0,0,package://blue04/meshes/Link23.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://blue04/meshes/Link23.STL,,link_1-2-3,Coordinate System7,Axis7,Joint23,revolute,0.08,0.004,0.0002,0,0,0.63934,Link13,0,0,1,0,0,0,0,,,,,,,,
Link35,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,5.4883E-22,-6.0561E-06,1.2541E-05,1.353E-22,6.9973E-06,0,0,0,0,0,0,package://blue04/meshes/Link35.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link35.STL,,link_1-4-5,Coordinate System12,Axis12,Joint35,revolute,0.02,-0.0002,-0.0088,-1.5708,0.001156,0,Link23,0,0,1,0,0,0,0,,,,,,,,
Link36,0.042,-8.405E-09,0.03,0,0,0,0.011548,5.7245E-06,-1.5468E-22,-6.0561E-06,1.2541E-05,6.6639E-23,6.9973E-06,0,0,0,0,0,0,package://blue04/meshes/Link36.STL,1,1,1,1,0,0,0,0,0,0,package://blue04/meshes/Link36.STL,,link_1-4-3,Coordinate System13,Axis13,Joint36,revolute,0.02,-0.0002,0.0088,-1.5708,0.001156,0,Link23,0,0,1,0,0,0,0,,,,,,,,
